"","nama_resto","kategori_resto","rating_resto","menu_resto","harga"
"1","McDonald's - Cideng","Chicken,Fast Food",4.7,"2xPaNas1 Ayam Lengkuas (Krispy) + 2x McFlurry OREO",95000
"2","McDonald's - Cideng","Chicken,Fast Food",4.7,"2xPaNas1 Ayam Lengkuas (Spicy) + 2x McFlurry OREO",95000
"3","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 5 Ayam Lengkuas ALC (Krispy) + 3x Iced Coffee",150000
"4","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 5 Ayam Lengkuas ALC (Spicy) + 3x Iced Coffee",150000
"5","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 5 Ayam Lengkuas ALC (Mix) + 3x Iced Coffee",150000
"6","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak",46500
"7","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak",46500
"8","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Hebat Smoky BBQ Wings",30500
"9","McDonald's - Cideng","Chicken,Fast Food",4.7,"Iced Coffee Sea Salt Caramel with Jelly Float",27000
"10","McDonald's - Cideng","Chicken,Fast Food",4.7,"White Choco Strawberry Pastry Pie",15500
"11","McDonald's - Cideng","Chicken,Fast Food",4.7,"Paket Nasi Uduk McD Ayam Suwir",26000
"12","McDonald's - Cideng","Chicken,Fast Food",4.7,"Mixed Berries McFlurry with Froot Loops",16500
"13","McDonald's - Cideng","Chicken,Fast Food",4.7,"Mixed Berries McFlurry with OREO",16500
"14","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 2 Ayam Krispy Lengkuas McD Sambal Bajak Large",63000
"15","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 2 Ayam Spicy Lengkuas McD Sambal Bajak Large",63000
"16","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 2 Ayam Krispy Lengkuas McD Sambal Bajak",58000
"17","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 2 Ayam Spicy Lengkuas McD Sambal Bajak",58000
"18","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak Large",51500
"19","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak Large",51500
"20","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak",46500
"21","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak",46500
"22","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 1 Ayam Spicy Lengkuas McD Sambal Bajak Large",44500
"23","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 1 Ayam Krispy Lengkuas McD Sambal Bajak Large",44500
"24","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 1 Ayam Krispy Lengkuas McD Sambal Bajak",39500
"25","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaNas 1 Ayam Spicy Lengkuas McD Sambal Bajak",39500
"26","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 7 Ayam Krispy Lengkuas McD Sambal Bajak",193500
"27","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 7 Ayam Spicy Lengkuas McD Sambal Bajak",193500
"28","McDonald's - Cideng","Chicken,Fast Food",4.7,"PaMer 7 Ayam Mix Lengkuas McD Sambal Bajak",193500
